"algorithmName","graphNumber","runNumber","graphSize","domainSize","meanDegree","timeToOptimum","timeToNashEq","computationTimeInMilliseconds","terminationReason","totalMessagesReceived","ratioAtTermination","avgNumberMessagesRecievedPerCycle","ratios"
"DSA-B p=0.15","0","0","50","50","14","-1","-1","10863","ComputationStepLimitReached","163390","0.990204081632653","21.785333333333334","0.9746938775510204","0.9844897959183674","0.9893877551020408","0.9926530612244898","0.9942857142857143","0.9861224489795918","0.990204081632653","0.9910204081632653","0.9910204081632653","0.9926530612244898","0.9918367346938776","0.990204081632653","0.9853061224489796","0.9853061224489796","0.9861224489795918","0.9861224489795918","0.990204081632653","0.990204081632653","0.9926530612244898","0.9926530612244898","0.9918367346938776","0.990204081632653","0.9951020408163266","0.9893877551020408","0.990204081632653","0.9910204081632653","0.9877551020408163","0.986938775510204","0.986938775510204","0.9861224489795918","0.9885714285714285","0.9934693877551021","0.990204081632653","0.9877551020408163","0.990204081632653","0.9918367346938776","0.9918367346938776","0.9926530612244898","0.9942857142857143","0.9942857142857143","0.990204081632653","0.9926530612244898","0.9926530612244898","0.9926530612244898","0.9951020408163266","0.9951020408163266","0.9926530612244898","0.9959183673469387","0.9942857142857143","0.9918367346938776","0.9934693877551021","0.9934693877551021","0.9959183673469387","0.9918367346938776","0.9918367346938776","0.9926530612244898","0.9942857142857143","0.9942857142857143","0.9942857142857143","0.9951020408163266","0.990204081632653","0.9918367346938776","0.9893877551020408","0.9926530612244898","0.9885714285714285","0.990204081632653","0.9910204081632653","0.9910204081632653","0.9926530612244898","0.9893877551020408","0.9926530612244898","0.9934693877551021","0.9893877551020408","0.9910204081632653","0.9926530612244898","0.9934693877551021","0.9942857142857143","0.9934693877551021","0.9951020408163266","0.9934693877551021","0.9918367346938776","0.986938775510204","0.986938775510204","0.9885714285714285","0.9885714285714285","0.9885714285714285","0.9910204081632653","0.9918367346938776","0.9942857142857143","0.9951020408163266","0.9934693877551021","0.9893877551020408","0.9885714285714285","0.9893877551020408","0.9910204081632653","0.986938775510204","0.9893877551020408","0.990204081632653","0.990204081632653","0.9926530612244898","0.9926530612244898","0.986938775510204","0.9885714285714285","0.9885714285714285","0.990204081632653","0.9910204081632653","0.9926530612244898","0.9934693877551021","0.9853061224489796","0.9877551020408163","0.986938775510204","0.9885714285714285","0.9893877551020408","0.9910204081632653","0.9934693877551021","0.9926530612244898","0.9893877551020408","0.9893877551020408","0.9853061224489796","0.9828571428571429","0.9828571428571429","0.9861224489795918","0.9771428571428571","0.9853061224489796","0.990204081632653","0.990204081632653","0.9926530612244898","0.9926530612244898","0.9934693877551021","0.9926530612244898","0.9910204081632653","0.9910204081632653","0.9918367346938776","0.990204081632653","0.9934693877551021","0.9926530612244898","0.9918367346938776","0.9910204081632653","0.9951020408163266","0.996734693877551","0.9934693877551021","0.9926530612244898","0.9885714285714285","0.9910204081632653","0.990204081632653","0.990204081632653","0.9918367346938776","0.9926530612244898","0.990204081632653","0.990204081632653"
"DSA-B p=0.15","0","1","50","50","14","-1","-1","9821","ComputationStepLimitReached","168780","0.986938775510204","22.504","0.9853061224489796","0.9893877551020408","0.9910204081632653","0.990204081632653","0.9918367346938776","0.9910204081632653","0.9918367346938776","0.9910204081632653","0.9893877551020408","0.9926530612244898","0.9942857142857143","0.9942857142857143","0.9910204081632653","0.9893877551020408","0.9910204081632653","0.9910204081632653","0.990204081632653","0.9942857142857143","0.9934693877551021","0.9885714285714285","0.9885714285714285","0.9877551020408163","0.9877551020408163","0.990204081632653","0.990204081632653","0.9942857142857143","0.9893877551020408","0.9910204081632653","0.9885714285714285","0.9893877551020408","0.9893877551020408","0.9885714285714285","0.990204081632653","0.9934693877551021","0.9942857142857143","0.9926530612244898","0.9934693877551021","0.9942857142857143","0.9853061224489796","0.9893877551020408","0.990204081632653","0.9918367346938776","0.9918367346938776","0.9910204081632653","0.9918367346938776","0.9918367346938776","0.9934693877551021","0.9934693877551021","0.9926530612244898","0.9934693877551021","0.9959183673469387","0.9926530612244898","0.9885714285714285","0.990204081632653","0.990204081632653","0.9910204081632653","0.9910204081632653","0.9934693877551021","0.9951020408163266","0.9934693877551021","0.9861224489795918","0.986938775510204","0.9885714285714285","0.9918367346938776","0.9918367346938776","0.9951020408163266","0.9877551020408163","0.986938775510204","0.9910204081632653","0.9910204081632653","0.9926530612244898","0.990204081632653","0.9926530612244898","0.9893877551020408","0.9910204081632653","0.9918367346938776","0.9910204081632653","0.9910204081632653","0.990204081632653","0.990204081632653","0.9918367346938776","0.9910204081632653","0.990204081632653","0.9951020408163266","0.9926530612244898","0.9942857142857143","0.990204081632653","0.990204081632653","0.986938775510204","0.990204081632653","0.9885714285714285","0.990204081632653","0.9877551020408163","0.990204081632653","0.9877551020408163","0.9910204081632653","0.9926530612244898","0.9942857142857143","0.9959183673469387","0.9942857142857143","0.986938775510204","0.986938775510204","0.9918367346938776","0.9926530612244898","0.9951020408163266","0.9934693877551021","0.9910204081632653","0.9918367346938776","0.9934693877551021","0.9934693877551021","0.9926530612244898","0.9934693877551021","0.9918367346938776","0.9918367346938776","0.9926530612244898","0.9951020408163266","0.990204081632653","0.9918367346938776","0.986938775510204","0.9885714285714285","0.9861224489795918","0.9861224489795918","0.9934693877551021","0.9861224489795918","0.9893877551020408","0.9804081632653061","0.9877551020408163","0.9877551020408163","0.990204081632653","0.9926530612244898","0.9926530612244898","0.9885714285714285","0.9893877551020408","0.990204081632653","0.9893877551020408","0.9885714285714285","0.9893877551020408","0.9910204081632653","0.9934693877551021","0.9910204081632653","0.9893877551020408","0.990204081632653","0.9926530612244898","0.9926530612244898","0.9910204081632653","0.9893877551020408","0.9893877551020408","0.9918367346938776","0.9926530612244898","0.986938775510204"
"DSA-B p=0.15","0","2","50","50","14","-1","-1","9545","ComputationStepLimitReached","169515","0.9918367346938776","22.602","0.9812244897959184","0.9844897959183674","0.9885714285714285","0.9926530612244898","0.9926530612244898","0.9942857142857143","0.9942857142857143","0.9926530612244898","0.9926530612244898","0.9893877551020408","0.986938775510204","0.9877551020408163","0.986938775510204","0.9893877551020408","0.9918367346938776","0.9934693877551021","0.9942857142857143","0.9942857142857143","0.9853061224489796","0.9853061224489796","0.9877551020408163","0.9861224489795918","0.986938775510204","0.9877551020408163","0.9893877551020408","0.986938775510204","0.986938775510204","0.9861224489795918","0.9861224489795918","0.9885714285714285","0.9910204081632653","0.9942857142857143","0.9918367346938776","0.986938775510204","0.9910204081632653","0.9926530612244898","0.990204081632653","0.9820408163265306","0.9853061224489796","0.9893877551020408","0.9893877551020408","0.9926530612244898","0.9934693877551021","0.9934693877551021","0.9926530612244898","0.9926530612244898","0.9893877551020408","0.9885714285714285","0.990204081632653","0.9893877551020408","0.9918367346938776","0.990204081632653","0.9893877551020408","0.990204081632653","0.9918367346938776","0.9934693877551021","0.9893877551020408","0.9885714285714285","0.9918367346938776","0.9959183673469387","0.9934693877551021","0.9942857142857143","0.9926530612244898","0.9893877551020408","0.986938775510204","0.9893877551020408","0.9918367346938776","0.990204081632653","0.9910204081632653","0.9951020408163266","0.9942857142857143","0.990204081632653","0.990204081632653","0.9918367346938776","0.9885714285714285","0.990204081632653","0.986938775510204","0.986938775510204","0.986938775510204","0.990204081632653","0.9885714285714285","0.9877551020408163","0.9877551020408163","0.9893877551020408","0.9934693877551021","0.9934693877551021","0.9959183673469387","0.9893877551020408","0.9885714285714285","0.990204081632653","0.9926530612244898","0.9926530612244898","0.9942857142857143","0.9910204081632653","0.990204081632653","0.9910204081632653","0.9893877551020408","0.9910204081632653","0.9893877551020408","0.9910204081632653","0.9853061224489796","0.9885714285714285","0.9893877551020408","0.9910204081632653","0.990204081632653","0.9926530612244898","0.9918367346938776","0.9918367346938776","0.9926530612244898","0.9918367346938776","0.9910204081632653","0.9959183673469387","0.9951020408163266","0.9951020408163266","0.9893877551020408","0.9893877551020408","0.9893877551020408","0.9893877551020408","0.9885714285714285","0.990204081632653","0.9910204081632653","0.9926530612244898","0.9942857142857143","0.9942857142857143","0.9893877551020408","0.9893877551020408","0.9926530612244898","0.9926530612244898","0.9934693877551021","0.9942857142857143","0.9942857142857143","0.9942857142857143","0.9934693877551021","0.9951020408163266","0.9951020408163266","0.9951020408163266","0.976326530612245","0.9844897959183674","0.9844897959183674","0.986938775510204","0.9893877551020408","0.9885714285714285","0.9910204081632653","0.9910204081632653","0.9926530612244898","0.9910204081632653","0.990204081632653","0.9926530612244898","0.9942857142857143","0.9918367346938776"
"DSA-B p=0.15","0","3","50","50","14","-1","-1","9347","ComputationStepLimitReached","172945","0.990204081632653","23.059333333333335","0.9795918367346939","0.9861224489795918","0.9885714285714285","0.9910204081632653","0.9877551020408163","0.9877551020408163","0.9877551020408163","0.9877551020408163","0.9877551020408163","0.9893877551020408","0.9893877551020408","0.9893877551020408","0.9885714285714285","0.9885714285714285","0.9885714285714285","0.9910204081632653","0.9918367346938776","0.9934693877551021","0.9934693877551021","0.9893877551020408","0.9910204081632653","0.9910204081632653","0.9918367346938776","0.9934693877551021","0.9934693877551021","0.9934693877551021","0.9910204081632653","0.9893877551020408","0.9910204081632653","0.9885714285714285","0.9910204081632653","0.9910204081632653","0.9926530612244898","0.9942857142857143","0.9942857142857143","0.9951020408163266","0.9942857142857143","0.9885714285714285","0.9910204081632653","0.9934693877551021","0.9934693877551021","0.9934693877551021","0.9918367346938776","0.9951020408163266","0.9918367346938776","0.990204081632653","0.9910204081632653","0.9885714285714285","0.9877551020408163","0.9885714285714285","0.9893877551020408","0.9910204081632653","0.9926530612244898","0.9861224489795918","0.9877551020408163","0.9885714285714285","0.9893877551020408","0.9910204081632653","0.9918367346938776","0.9918367346938776","0.9844897959183674","0.9861224489795918","0.9893877551020408","0.9885714285714285","0.9861224489795918","0.9885714285714285","0.9893877551020408","0.9893877551020408","0.9893877551020408","0.9910204081632653","0.9934693877551021","0.9951020408163266","0.9942857142857143","0.9942857142857143","0.990204081632653","0.9926530612244898","0.9926530612244898","0.9942857142857143","0.9926530612244898","0.9885714285714285","0.9877551020408163","0.9926530612244898","0.9877551020408163","0.9893877551020408","0.9910204081632653","0.9918367346938776","0.9934693877551021","0.9951020408163266","0.9934693877551021","0.9951020408163266","0.9942857142857143","0.9861224489795918","0.9861224489795918","0.9861224489795918","0.9885714285714285","0.9885714285714285","0.990204081632653","0.9893877551020408","0.990204081632653","0.9934693877551021","0.9942857142857143","0.9853061224489796","0.9877551020408163","0.9934693877551021","0.9951020408163266","0.990204081632653","0.9934693877551021","0.9910204081632653","0.9918367346938776","0.9926530612244898","0.9918367346938776","0.9942857142857143","0.9918367346938776","0.9942857142857143","0.9951020408163266","0.996734693877551","0.9959183673469387","0.9942857142857143","0.9942857142857143","0.9942857142857143","0.9918367346938776","0.9910204081632653","0.9910204081632653","0.9918367346938776","0.9910204081632653","0.9918367346938776","0.9918367346938776","0.9910204081632653","0.9893877551020408","0.9910204081632653","0.9918367346938776","0.9926530612244898","0.9893877551020408","0.9877551020408163","0.9877551020408163","0.990204081632653","0.990204081632653","0.9910204081632653","0.9893877551020408","0.9910204081632653","0.9910204081632653","0.9893877551020408","0.9934693877551021","0.9926530612244898","0.9877551020408163","0.990204081632653","0.9918367346938776","0.9918367346938776","0.9893877551020408","0.990204081632653"
"DSA-B p=0.15","0","4","50","50","14","-1","-1","9420","ComputationStepLimitReached","174072","0.9951020408163266","23.2096","0.9795918367346939","0.9828571428571429","0.9844897959183674","0.9885714285714285","0.9918367346938776","0.9934693877551021","0.9942857142857143","0.9910204081632653","0.9877551020408163","0.9910204081632653","0.9918367346938776","0.990204081632653","0.9893877551020408","0.9926530612244898","0.9918367346938776","0.9918367346938776","0.990204081632653","0.990204081632653","0.9918367346938776","0.9918367346938776","0.9926530612244898","0.9926530612244898","0.9926530612244898","0.9934693877551021","0.9934693877551021","0.9951020408163266","0.9926530612244898","0.990204081632653","0.9910204081632653","0.9828571428571429","0.9844897959183674","0.9853061224489796","0.9836734693877551","0.9836734693877551","0.9861224489795918","0.9877551020408163","0.9861224489795918","0.9853061224489796","0.9836734693877551","0.986938775510204","0.9861224489795918","0.9861224489795918","0.9877551020408163","0.9893877551020408","0.990204081632653","0.9885714285714285","0.9885714285714285","0.9885714285714285","0.9885714285714285","0.9877551020408163","0.9893877551020408","0.9893877551020408","0.9893877551020408","0.990204081632653","0.9942857142857143","0.9934693877551021","0.9926530612244898","0.9942857142857143","0.9934693877551021","0.9934693877551021","0.9934693877551021","0.9926530612244898","0.9861224489795918","0.9893877551020408","0.990204081632653","0.9877551020408163","0.9910204081632653","0.9918367346938776","0.9918367346938776","0.9910204081632653","0.9942857142857143","0.9910204081632653","0.9877551020408163","0.986938775510204","0.9861224489795918","0.9877551020408163","0.9885714285714285","0.990204081632653","0.9926530612244898","0.9820408163265306","0.9853061224489796","0.9910204081632653","0.9877551020408163","0.990204081632653","0.9893877551020408","0.9942857142857143","0.9942857142857143","0.986938775510204","0.9893877551020408","0.990204081632653","0.9885714285714285","0.990204081632653","0.9910204081632653","0.9934693877551021","0.9893877551020408","0.9926530612244898","0.9934693877551021","0.9934693877551021","0.9934693877551021","0.9885714285714285","0.9877551020408163","0.9885714285714285","0.9910204081632653","0.9861224489795918","0.986938775510204","0.9893877551020408","0.9942857142857143","0.9942857142857143","0.9951020408163266","0.9853061224489796","0.9853061224489796","0.9844897959183674","0.9844897959183674","0.9910204081632653","0.9926530612244898","0.9926530612244898","0.9877551020408163","0.9893877551020408","0.9861224489795918","0.986938775510204","0.990204081632653","0.9918367346938776","0.9910204081632653","0.986938775510204","0.9893877551020408","0.9910204081632653","0.9918367346938776","0.9918367346938776","0.9942857142857143","0.9942857142857143","0.9910204081632653","0.9893877551020408","0.9885714285714285","0.9893877551020408","0.990204081632653","0.9877551020408163","0.986938775510204","0.9893877551020408","0.9877551020408163","0.9885714285714285","0.9853061224489796","0.9853061224489796","0.9885714285714285","0.9877551020408163","0.9893877551020408","0.990204081632653","0.9918367346938776","0.9934693877551021","0.9934693877551021","0.9951020408163266"
"DSAN p=1.0","0","0","50","50","14","33","33","2112","Converged","16162","1.0","9.795151515151515","0.976326530612245","0.9828571428571429","0.9877551020408163","0.9942857142857143","0.9959183673469387","0.9975510204081632","0.9975510204081632","0.9975510204081632","0.9975510204081632","0.9975510204081632","0.9975510204081632","0.9975510204081632","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","1.0"
"DSAN p=1.0","0","1","50","50","14","64","64","3898","Converged","20797","1.0","6.4990625","0.9844897959183674","0.9820408163265306","0.9820408163265306","0.990204081632653","0.9926530612244898","0.9934693877551021","0.9934693877551021","0.9959183673469387","0.996734693877551","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","1.0"
"DSAN p=1.0","0","2","50","50","14","20","20","1211","Converged","17280","1.0","17.28","0.986938775510204","0.9771428571428571","0.9836734693877551","0.9893877551020408","0.9926530612244898","0.9942857142857143","0.9942857142857143","0.996734693877551","0.996734693877551","0.9975510204081632","0.9975510204081632","0.9975510204081632","0.9975510204081632","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","1.0"
"DSAN p=1.0","0","3","50","50","14","25","25","1743","Converged","16311","1.0","13.0488","0.9844897959183674","0.9779591836734693","0.9861224489795918","0.9934693877551021","0.9951020408163266","0.9951020408163266","0.996734693877551","0.996734693877551","0.996734693877551","0.996734693877551","0.996734693877551","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","0.9991836734693877","1.0"
"DSAN p=1.0","0","4","50","50","14","32","32","2109","Converged","18453","1.0","11.533125","0.9730612244897959","0.9804081632653061","0.9893877551020408","0.9926530612244898","0.9959183673469387","0.9959183673469387","0.9959183673469387","0.996734693877551","0.996734693877551","0.996734693877551","0.996734693877551","0.996734693877551","0.9975510204081632","0.9975510204081632","0.9975510204081632","0.9975510204081632","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9983673469387755","0.9991836734693877","0.9991836734693877","0.9991836734693877","1.0"
